date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2015-10-08,1765.9812,1170.8746,1695.7722586147206,4.1402341044683055,59.4195221445441,59.4195221445441,22.582294333598043,1116.4415663682587,4.875582858206357,58.03543868179114,58.03543868179114,31.178119302756834
2015-10-09,1784.6712,1187.9173,1704.2388244609376,4.7195483628594985,61.837880038348004,61.837880038348004,23.501387382327223,1123.248779095091,5.757274978478691,60.399428337833015,60.399428337833015,32.448114898563055
2015-10-12,1784.9412,1185.9308,1711.9247649884674,4.265166116223824,59.941053096771654,59.941053096771654,22.780501337663722,1129.218495371749,5.0222614011986195,58.428712649454475,58.428712649454475,31.389396118457434
2015-10-13,1781.8112,1181.8274000000001,1718.5806159419467,3.6792329362679936,57.49506439467596,57.49506439467596,21.850907244446123,1134.2288672411062,4.19655451678571,56.21483040099822,56.21483040099822,30.200042054243532
2015-10-14,1773.3012,1172.7094,1723.7921001379518,2.872103884110274,54.12568950646802,54.12568950646802,20.570381708400017,1137.8936798848104,3.059663721720824,53.1666030007664,53.1666030007664,28.562456473690688
2015-10-15,1777.7812,1176.2235,1728.9339191724325,2.8252832734606983,53.930236016903365,53.930236016903365,20.49609992237116,1141.5441389434,3.037934309635972,53.108342181349535,53.108342181349535,28.531157274103087
2015-10-16,1772.4512,1169.1896000000002,1733.0784221083914,2.2718405231604777,51.06850187237973,51.619879203532314,19.618052511483842,1144.1770399964096,2.186074281272866,50.793463723533925,50.824338219939605,27.304132035485384
2015-10-19,1772.3212,1166.5925,1736.8158295266398,2.0442795298012157,48.606463472203195,50.66992170353822,19.25702268332247,1146.3118457110372,1.7692091698121573,48.19772099794524,49.706641022925446,26.703676566475586
2015-10-22,1759.6412,1152.8288,1738.9896743336265,1.1875588435731714,43.58429818672837,47.0935256381653,17.897819080080623,1146.9325080242718,0.5140923231729886,43.455653419490154,46.34142636992114,24.895797341058906
2015-10-23,1750.9012,1142.347,1740.1241053494716,0.6193290821842936,38.506408746492745,44.721440178426526,16.996311795892748,1146.4957929743412,-0.36186726543304815,38.55978351344895,43.99280675660787,23.634058924603192
2015-10-26,1741.3112,1130.1134,1740.2371619828552,0.061717910673792176,34.3411887235877,42.39368221500167,16.111651105765272,1144.9355650720229,-1.2945850862000725,34.29580783782756,41.49200718088055,22.290565547189065
2015-10-27,1740.4712,1127.8437,1740.2594513178215,0.01216765017527166,32.89841592630752,42.18683375256364,16.03303867852521,1143.3077683984968,-1.3525726690511704,33.19338152825447,41.33653108793722,22.20703982076021
2015-10-28,1730.8012,1116.5016,1739.358665478029,-0.4919896998746367,29.2756089303981,40.08221973771379,15.233183489075172,1140.7547999795925,-2.1260660029680594,29.838157570286068,39.26264361820222,21.092894525737613
2015-10-29,1715.9212,1100.7274,1737.1265259086929,-1.2207128031506187,22.332940211930595,37.04015190720872,14.077050476693762,1136.9426666482027,-3.185320395703698,23.456969574620583,36.42257465311889,19.56713697082475
