date,name,code,weekday,open,high,low,close,change,pct
2015-01-08,股票基金,H11021,四,5749.77,5749.77,5749.77,5749.77,-64.07,-1.10
2015-01-08,主动股基,930890,四,931.76,931.76,931.76,931.76,-5.22,-0.56
2015-01-09,主动偏股,932055,五,928.87,928.87,928.87,928.87,0.36,0.04
2015-01-09,股票基金,H11021,五,5735.35,5735.35,5735.35,5735.35,-14.42,-0.25
2015-01-09,偏股基金,930950,五,912.68,912.68,912.68,912.68,-0.34,-0.04
2015-01-09,主动股基,930890,五,929.92,929.92,929.92,929.92,-1.84,-0.20
2015-01-12,主动偏股,932055,一,930.30,930.30,930.30,930.30,1.43,0.16
2015-01-12,主动股基,930890,一,928.95,928.95,928.95,928.95,-0.97,-0.10
2015-01-12,股票基金,H11021,一,5713.75,5713.75,5713.75,5713.75,-21.60,-0.38
2015-01-12,偏股基金,930950,一,912.48,912.48,912.48,912.48,-0.20,-0.02
2015-01-13,偏股基金,930950,二,920.71,920.71,920.71,920.71,8.23,0.90
2015-01-13,主动偏股,932055,二,940.33,940.33,940.33,940.33,10.03,1.08
2015-01-13,主动股基,930890,二,938.19,938.19,938.19,938.19,9.24,0.99
2015-01-13,股票基金,H11021,二,5762.06,5762.06,5762.06,5762.06,48.31,0.85
2015-01-14,股票基金,H11021,三,5737.30,5737.30,5737.30,5737.30,-24.76,-0.43
2015-01-14,主动股基,930890,三,932.82,932.82,932.82,932.82,-5.37,-0.57
2015-01-14,偏股基金,930950,三,916.90,916.90,916.90,916.90,-3.81,-0.41
2015-01-14,主动偏股,932055,三,936.44,936.44,936.44,936.44,-3.89,-0.42
2015-01-15,主动偏股,932055,四,949.49,949.49,949.49,949.49,13.05,1.39
2015-01-15,股票基金,H11021,四,5832.96,5832.96,5832.96,5832.96,95.66,1.67
2015-01-15,偏股基金,930950,四,931.87,931.87,931.87,931.87,14.97,1.63
2015-01-15,主动股基,930890,四,944.47,944.47,944.47,944.47,11.65,1.25
2015-01-16,主动偏股,932055,五,963.25,963.25,963.25,963.25,13.76,1.45
2015-01-16,股票基金,H11021,五,5903.58,5903.58,5903.58,5903.58,70.62,1.21
2015-01-16,偏股基金,930950,五,943.88,943.88,943.88,943.88,12.01,1.29
2015-01-16,主动股基,930890,五,956.39,956.39,956.39,956.39,11.92,1.26
2015-01-19,主动偏股,932055,一,926.68,926.68,926.68,926.68,-36.57,-3.80
2015-01-19,股票基金,H11021,一,5629.84,5629.84,5629.84,5629.84,-273.74,-4.64
2015-01-19,偏股基金,930950,一,902.10,902.10,902.10,902.10,-41.78,-4.43
2015-01-19,主动股基,930890,一,918.50,918.50,918.50,918.50,-37.88,-3.96
2015-01-20,主动偏股,932055,二,954.95,954.95,954.95,954.95,28.27,3.05
2015-01-20,股票基金,H11021,二,5774.87,5774.87,5774.87,5774.87,145.03,2.58
2015-01-20,偏股基金,930950,二,926.67,926.67,926.67,926.67,24.57,2.72
2015-01-20,主动股基,930890,二,945.13,945.13,945.13,945.13,26.63,2.90
2015-01-21,主动偏股,932055,三,979.81,979.81,979.81,979.81,24.86,2.60
2015-01-21,主动股基,930890,三,968.07,968.07,968.07,968.07,22.94,2.43
2015-01-21,股票基金,H11021,三,5944.45,5944.45,5944.45,5944.45,169.58,2.94
2015-01-21,偏股基金,930950,三,953.42,953.42,953.42,953.42,26.75,2.89
2015-01-22,主动偏股,932055,四,987.81,987.81,987.81,987.81,8.00,0.82
2015-01-22,股票基金,H11021,四,5994.38,5994.38,5994.38,5994.38,49.93,0.84
2015-01-22,主动股基,930890,四,975.84,975.84,975.84,975.84,7.77,0.80
2015-01-22,偏股基金,930950,四,960.71,960.71,960.71,960.71,7.29,0.76
